Fid,lat,lng,road_desc,zip,timeStamp,twp,addr,outcome_of_incident,traffic_status,traffic_occured_by,area_accident_occured,Label
157.240.2.35-10.42.0.151-443-34508-6,40.2978759,-75.5812935,REINDEER CT & DEAD END;  NEW HANOVER; Station 332; 2022-12-10 @ 17:10:52;,19525,10-12-22 17:10,NEW HANOVER,REINDEER CT & DEAD END,Minor Injury,High,Collision with roadside objects,Residential areas,0
172.217.10.99-10.42.0.211-443-49819-6,40.2580614,-75.2646799,BRIAR PATH & WHITEMARSH LN;  HATFIELD TOWNSHIP; Station 345; 2022-12-10 @ 17:29:21;,19446,10-12-22 17:29,HATFIELD TOWNSHIP,BRIAR PATH & WHITEMARSH LN,Death,Medium,Vehicle with vehicle collision,Office areas,1
172.217.12.174-10.42.0.42-443-55995-6,40.1211818,-75.3519752,HAWS AVE; NORRISTOWN; 2022-12-10 @ 14:39:21-Station:STA27;,19401,10-12-22 14:39,NORRISTOWN,HAWS AVE,Greviously Injured,Very High,Vehicle with vehicle collision,  Recreational areas,2
172.217.7.163-10.42.0.42-443-40747-6,40.116153,-75.343513,AIRY ST & SWEDE ST;  NORRISTOWN; Station 308A; 2022-12-10 @ 16:47:36;,19401,10-12-22 16:47,NORRISTOWN,AIRY ST & SWEDE ST,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
183.79.250.123-10.42.0.211-443-36972-6,40.251492,-75.6033497,CHERRYWOOD CT & DEAD END;  LOWER POTTSGROVE; Station 329; 2022-12-10 @ 16:56:52;,,10-12-22 16:56,LOWER POTTSGROVE,CHERRYWOOD CT & DEAD END,Death,Medium,Rollover, Industrial areas,1
172.217.10.67-10.42.0.211-443-41249-6,40.2534732,-75.283245,CANNON AVE & W 9TH ST;  LANSDALE; Station 345; 2022-12-10 @ 15:39:04;,19446,10-12-22 15:39,LANSDALE,CANNON AVE & W 9TH ST,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
10.42.0.151-103.7.30.118-60374-80-6,40.1821111,-75.1277951,LAUREL AVE & OAKDALE AVE;  HORSHAM; Station 352; 2022-12-10 @ 16:46:48;,19044,10-12-22 16:46,HORSHAM,LAUREL AVE & OAKDALE AVE,Death,High,Vehicle with vehicle collision,Residential areas,1
10.42.0.211-106.11.94.27-57975-443-6,40.2172859,-75.405182,COLLEGEVILLE RD & LYWISKI RD;  SKIPPACK; Station 336; 2022-12-10 @ 16:17:05;,19426,10-12-22 16:17,SKIPPACK,COLLEGEVILLE RD & LYWISKI RD,Greviously Injured,Medium,Vehicle with vehicle collision,Residential areas,2
10.42.0.151-10.42.0.1-37556-53-17,40.2890267,-75.3995896,MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2022-12-10 @ 16:51:42;,19438,10-12-22 16:51,LOWER SALFORD,MAIN ST & OLD SUMNEYTOWN PIKE,Minor Injury,High,Collision with pedestrians, Industrial areas,0
10.42.0.211-77.234.42.92-58992-443-6,40.1023985,-75.2914577,BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD; PLYMOUTH; 2022-12-10 @ 17:35:41;,19462,10-12-22 17:35,PLYMOUTH,BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD,Death,High,Vehicle with vehicle collision,Residential areas,1
